ir_k3_re_e1 ir_k3_re_e3 ir_k3_re_e6 ir_k5_re_e1 ir_k5_re_e3 ir_k5_re_e6 ir_k7_re_e1 ir_k7_re_e3 ir_k7_re_e6 skip
9316.99 22696.834 40777.32 9170.258 22650.542 40951.702 9023.118 23279.002 42348.09 3244.098
4420.65 9960.768 20839.796 4416.316 10545.97 21326.306 4745.612 10608.682 21671.82 1287.24
4177.26 10754.37 19148.888 4082.35 10654.814 19010.72 3837.658 11172.966 19492.786 2530.7
4580.166 11009.058 23355.58 4613.878 11576.26 23090.602 5013.956 11241.398 23242.17 1253.376
1832.966 4059.038 10727.256 1844.888 3843.878 10731.386 1869.358 4203.804 10668.578 860.848
3730.198 11298.014 22380.732 3288.518 11306.502 22739.272 3930.126 12056.036 21958.064 1.202
3455.372 11639.788 23074.064 3722.988 11907.92 22881.48 3795.746 11611.846 23033.016 1.138
5478.602 14457.106 27595.84 5571.464 14898.39 28187.804 5404.152 13925.34 27303.322 2996.092
7179.366 19625.836 38163.302 7473.128 19299.386 38274.896 7582.936 19556.662 39100.83 2329.14
4544.616 11425.494 24468.58 4521.902 10260.094 23865.818 4370.24 11696.5 23327.644 2386.546
9632.474 30108.346 61085.246 10342.69 28798.87 57722.104 9989.718 28806.124 59189.952 1.18
